date,close,volume,open,high,low
2023-11-03,43.236,36670510,42.876,43.4815,42.553
2023-11-06,43.474,30032350,43.438,43.503,42.961
2023-11-07,43.461,32910640,43.618,43.764,43.1
2023-11-08,43.665,23568450,43.5,43.807,43.368
2023-11-09,43.515,27355070,43.803,44.038,43.435
2023-11-10,44.724,44432840,43.748,44.748,43.551
2023-11-13,44.462,28961430,44.725,44.843,44.26
2023-11-14,44.865,40608840,44.878,45.4075,44.564
2023-11-15,46.194,50352830,45.281,46.275,45.245
2023-11-16,46.695,36559740,46.3,46.728,45.965
2023-11-17,46.591,28002140,46.695,46.765,46.276
2023-11-20,47.447,36210950,46.54,47.6756,46.54
2023-11-21,47.495,29977230,47.263,47.702,47.121
2023-11-22,47.8,28438910,47.68,48.27,47.656
2023-11-24,47.956,14047320,47.711,48.04,47.52
2023-11-27,47.917,36259240,47.903,48.2,47.535
2023-11-28,47.9,28901640,47.811,48.05,47.595
2023-11-29,47.719,28555400,47.9,48.0988,47.449
2023-11-30,47.397,42873490,47.531,47.8591,47.042
2023-12-01,46.574,43414710,47.317,47.523,46.46
2023-12-04,45.39,51577130,46.099,46.12,45.12
2023-12-05,45.515,33806740,45.07,45.639,44.958
2023-12-06,44.673,41787550,46.0,46.05,44.573
2023-12-07,45.2,35067220,45.085,45.2885,44.832
2023-12-08,45.376,34583840,45.076,45.55,45.076
2023-12-11,45.989,49296620,45.936,47.065,45.721
2023-12-12,46.3,33026600,46.523,46.561,45.9196
2023-12-13,47.998,58201920,46.198,48.125,46.198
2023-12-14,46.983,51764370,48.036,48.076,46.476
2023-12-15,47.206,78409920,46.73,47.3,46.73
2023-12-18,48.612,64106600,47.63,49.204,47.5095
2023-12-19,49.502,38490140,48.84,49.614,48.406
2023-12-20,48.927,45636900,49.2,50.089,48.839
2023-12-21,49.161,27562250,49.266,49.44,48.677
2023-12-22,48.676,27026720,49.4,49.602,48.545
2023-12-26,49.119,20345170,48.939,49.148,48.638
2023-12-27,49.179,25613300,49.124,49.4015,48.925
2023-12-28,49.051,17104920,49.2,49.289,48.907
2023-12-29,48.688,27405550,49.037,49.223,48.1935
2024-01-02,46.85,50494230,48.3185,48.465,46.186
2024-01-03,47.026,34436940,46.732,47.505,46.5773
2024-01-04,47.467,36365130,47.298,48.0739,46.653
2024-01-05,47.406,26312500,47.65,47.9545,47.1804
2024-01-08,48.503,36757750,47.389,48.524,47.365
2024-01-09,48.209,35267570,47.553,48.5085,47.38
2024-01-10,47.833,43424480,48.16,48.7,47.295
2024-01-11,49.223,79932650,49.254,50.341,48.382
2024-01-12,49.216,50037180,50.051,50.079,49.061
2024-01-16,48.124,46789740,49.0,49.415,47.802
